기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),0,서대문구,북가좌제2동,38403.6284,1044.1251,1255.3765,1505.3435,1594.2591,1393.4474,862.5662,1941.1717,1036.9372,1315.1405,1311.3909,1597.9243,1778.1622,1181.5225,3298.7908
평일(7월5일),0,마포구,아현동,27636.6775,492.6447,811.9474,1502.1932,980.2242,822.4327,461.5519,1035.5534,577.2223,1257.7988,1583.6961,1020.7623,1054.7658,609.0177,1554.1277
평일(7월5일),0,마포구,공덕동,40242.7033,924.9145,1584.7226,1949.0816,1717.6608,1471.1363,813.196,1622.2136,962.3069,2058.6336,1920.1519,1747.3485,1680.0784,961.3343,2576.918
평일(7월5일),0,마포구,도화동,24357.916,505.887,866.2328,1115.8409,986.9062,831.4339,535.8651,1159.2476,443.5136,1188.6797,1136.5111,956.1817,1040.0645,551.0489,1715.6443
평일(7월5일),0,마포구,용강동,24476.0125,435.5364,711.0721,1259.2909,1246.0734,779.9782,377.3278,908.1075,413.7967,929.5233,1239.9629,1018.3678,875.8313,582.5126,1743.2187
평일(7월5일),0,마포구,대흥동,21358.5836,694.1903,1459.5077,684.8963,739.5349,554.2376,319.7728,725.7379,705.6141,1581.8824,624.4906,617.1869,631.8397,492.1496,1267.0934
평일(7월5일),0,마포구,염리동,10503.3044,228.4696,395.6789,399.0855,404.5291,347.0565,141.1892,515.0779,328.4004,614.3879,424.3283,431.6892,408.6983,212.9883,689.5718
평일(7월5일),0,마포구,신수동,23395.3587,690.7407,831.3727,897.2944,955.5511,754.8211,426.163,993.5834,555.224,858.177,1141.1151,995.2112,841.4211,509.2513,1719.7005
평일(7월5일),0,마포구,서강동,29535.7456,760.8232,1481.6877,1207.0616,1121.1693,849.7469,471.445,1045.5466,899.4629,1536.5248,1361.2068,1055.5394,1004.2345,661.9497,1868.4958
평일(7월5일),0,마포구,서교동,57535.3131,1709.9289,4274.8999,3006.9622,1912.8862,1316.1083,651.8261,1740.3988,1792.9289,4244.4796,2381.1807,1626.2977,1294.8369,901.5375,2930.7725
평일(7월5일),0,마포구,합정동,21039.2684,265.2895,1197.0017,1187.4009,776.0432,596.6473,363.5218,635.6807,334.3722,1530.3857,1004.0156,630.9084,670.7732,377.1058,1354.413
평일(7월5일),0,마포구,망원제1동,22609.2287,563.5932,952.8261,1173.0443,931.5787,632.1212,384.4343,1002.539,437.0697,1333.6921,1347.4477,844.1962,777.6491,613.8224,1458.9208
평일(7월5일),0,마포구,망원제2동,20510.2097,535.323,718.1081,1044.8797,796.1846,681.5579,336.585,957.3943,493.9863,1003.8995,1107.7553,975.981,672.9017,508.5043,1355.9936
평일(7월5일),0,마포구,연남동,18424.2056,321.5803,983.951,1028.8777,661.8991,464.5723,243.5589,753.4486,376.0036,1257.1764,1107.9921,640.3898,605.1833,368.9395,1236.4781
평일(7월5일),0,마포구,성산제1동,23758.098,595.1714,951.8701,1298.1442,1070.8414,590.6237,366.544,929.9444,581.4719,1291.3954,1244.4468,1180.8054,760.4686,603.697,1433.9948
평일(7월5일),0,마포구,성산제2동,42128.4293,1131.5088,1313.4917,1841.8765,1806.6602,1253.4054,834.4405,1731.3648,992.6646,2088.2993,2002.5308,1846.883,1345.9866,913.3873,3151.0342
