사업장명,소재지전체주소,시군구명,읍면동명,소재지면적,시설총규모,전화번호,위치정보(X),위치정보(Y)
하이덴치킨,서울특별시 노원구 상계동 456-67번지 ,노원구,상계동,85.44,19.43,29347226,205842.9188,462626.6773
강호동치킨678노원마들,서울특별시 노원구 상계동 456-76번지 ,노원구,상계동,26.78,26.78,29308386,205833.8894,462552.6406
황진이호프,서울특별시 노원구 상계동 48-1번지 ,노원구,상계동,83.88,83.88,,207332.8348,463602.8114
마루,서울특별시 노원구 상계동 581-102번지 ,노원구,상계동,70.7,70.7,,205478.4002,462127.5604
꼬지사께,서울특별시 노원구 상계동 581-2번지 센트럴타워상가 109호,노원구,상계동,47.8,47.8,,205446.2175,462059.5742
비케이씨(BKC)치킨,서울특별시 노원구 상계동 581-6번지 ,노원구,상계동,21.6,21.6,,205429.4564,462202.2614
비비큐치킨,서울특별시 노원구 상계동 581-72번지 ,노원구,상계동,39.65,39.65,29302008,205480.014,462148.6
오춘자 비어,서울특별시 노원구 상계동 591-2번지 우창프라자 116호,노원구,상계동,42.5,42.5,9302643,205478.7889,462038.7061
준카츠,서울특별시 노원구 상계동 591-2번지 우창프라자 1층 104호 ,노원구,상계동,35,35,29393240,205478.7889,462038.7061
허니파인(honey:fine),"서울특별시 노원구 상계동 591-2번지 우창프라자 3층 307호, 308호 ",노원구,상계동,151.32,151.32,,205478.7889,462038.7061
BHC 노원역점,서울특별시 노원구 상계동 593-1번지 화일빌딩 2층 ,노원구,상계동,109.58,109.58,209357173,205495.2013,461954.9034
비랩(BLAB),서울특별시 노원구 상계동 593-1번지 화일빌딩 B1 ,노원구,상계동,144,144,,205495.2013,461954.9034
술쟁이,서울특별시 노원구 상계동 593-2번지 동원빌딩 지층 ,노원구,상계동,125.15,125.15,02 9327707,205513.6748,461929.0051
봉쥬비어,서울특별시 노원구 상계동 593-2번지 동천빌딩 2층 ,노원구,상계동,89.3,89.3,29358383,205513.6748,461929.0051
고릴라(Gorilla),서울특별시 노원구 상계동 593-3번지 501호 ,노원구,상계동,62.7,62.7,,205519.4293,461898.5825
이프로(2%),서울특별시 노원구 상계동 593-3번지 한일빌딩 지하1층 ,노원구,상계동,131.74,131.74,,205519.4293,461898.5825
삼팔강땡,서울특별시 노원구 상계동 594-2번지 보광빌딩 3층 ,노원구,상계동,248.67,248.67,02  931 6301,205559.3395,461911.9811
노랑통닭,서울특별시 노원구 상계동 595번지 ,노원구,상계동,58.9,58.9,02 9354455,205558.3897,461891.4312
맥주바켓,서울특별시 노원구 상계동 602-18번지 (지하1층) ,노원구,상계동,128.1,128.1,,205489.9119,461896.2149
이브닝,서울특별시 노원구 상계동 602-18번지 (지하1층) ,노원구,상계동,99.4,99.4,,205489.9119,461896.2149
한잔 247,서울특별시 노원구 상계동 602-18번지 성광빌딩 301호,노원구,상계동,132,132,,205489.9119,461896.2149
헐리우드스타,서울특별시 노원구 상계동 602-18번지 지상 2층 ,노원구,상계동,122.1,122.1,,205489.9119,461896.2149
퓨전포차술친구,서울특별시 노원구 상계동 602-7번지 ,노원구,상계동,60,60,,205484.4707,461981.3092
안녕포차,서울특별시 노원구 상계동 602-7번지 지상1층 ,노원구,상계동,24.96,24.96,,205484.4707,461981.3092
퓨전포차(2000)비어 만남,서울특별시 노원구 상계동 602-8번지 주차장쪽 ,노원구,상계동,45.87,45.87,,205412.2869,461663.8698
#노원포차,서울특별시 노원구 상계동 603-1번지 101호,노원구,상계동,43,43,,205459.9183,461965.1308
비베르,서울특별시 노원구 상계동 603-2번지 하이웰빙상가 5층 ,노원구,상계동,219.8,219.8,9311255,205454.7352,461921.1076
바람쟁이,서울특별시 노원구 상계동 603-2번지 하이웰빙상가 지하 B동 102호,노원구,상계동,120.26,120.26,,205454.7352,461921.1076
부리또인노원역점,서울특별시 노원구 상계동 603-8번지 청우빌딩 103호,노원구,상계동,34.4,34.4,,205399,461568
더호바 노원점,서울특별시 노원구 상계동 606-14번지 ,노원구,상계동,174.51,174.51,,205567.8631,461742.4973
치킨마루,서울특별시 노원구 상계동 60-6번지 106호,노원구,상계동,38.34,38.34,,207148.1016,463530.0258
깐부치킨,서울특별시 노원구 상계동 616-1번지 1층 ,노원구,상계동,207.9,207.9,02 9379233,205506,461499
포차끝판왕 노원점,서울특별시 노원구 상계동 616-1번지 4층 ,노원구,상계동,413.6,413.6,,205506,461499
블루케찹,서울특별시 노원구 상계동 616-4번지 지하1층 ,노원구,상계동,320.66,320.66,,205478.9255,461477.6748
곱창고노원역점,서울특별시 노원구 상계동 616-6번지 ,노원구,상계동,61.92,61.92,29307692,205566.9987,461752.5871
백철판0410,서울특별시 노원구 상계동 616-6번지 2층 ,노원구,상계동,152.35,152.35,29364574,205566.9987,461752.5871
오사카블루스,서울특별시 노원구 상계동 616-6번지 2층 ,노원구,상계동,147,147,29319700,205566.9987,461752.5871
와라와라,서울특별시 노원구 상계동 616-6번지 4층 ,노원구,상계동,186.24,186.24,,205566.9987,461752.5871
꾼노리,서울특별시 노원구 상계동 616-6번지 지상3층 ,노원구,상계동,186.05,186.05,29525554,205566.9987,461752.5871
PIER70잃어버린시간을찾아서,서울특별시 노원구 상계동 617번지 ,노원구,상계동,66,66,,205495.5129,461797.0396
객잔차이나,"서울특별시 노원구 상계동 617번지 3층 1,2호 ",노원구,상계동,437.25,437.25,,205495.5129,461797.0396
유객주,서울특별시 노원구 상계동 617번지 3층 나동 ,노원구,상계동,183.82,183.82,02 9390317,205510.817,461764.4297
주식공감작업,서울특별시 노원구 상계동 617번지 나동 2층 ,노원구,상계동,223.38,223.38,,205495.5129,461797.0396
오마이치킨&비어,서울특별시 노원구 상계동 624번지 지상 2층 ,노원구,상계동,40.99,40.99,,204670.5737,462933.3164
싸군맥주,서울특별시 노원구 상계동 626-1번지 1층 상가동 104호,노원구,상계동,32.1,32.1,29518174,205296.6481,463455.8181
bbq마들점,서울특별시 노원구 상계동 629번지 14단지유치원상가 106호,노원구,상계동,41.14,41.14,,205183.0555,463129.0388
네네치킨상계마들,서울특별시 노원구 상계동 637-1번지 주공13단지 상가동 107호,노원구,상계동,23.02,23.02,,205328.5914,463184.8789
마들치킨,서울특별시 노원구 상계동 648-0번지 주공12단지유치원상가 101 ,노원구,상계동,30.94,30.94,29395233,205334.5061,463085.8774
명가마들역점옛날통닭,서울특별시 노원구 상계동 649-1번지 103호,노원구,상계동,21.53,21.53,02  939 5887,205073.831,463063.4592
바른치킨 마들역점,서울특별시 노원구 상계동 649-2번지 고려프라자 104호,노원구,상계동,19.5,19.5,,205077.5346,463030.9601
맥주정비소,서울특별시 노원구 상계동 649-2번지 고려프라자 빌딩 101호,노원구,상계동,25.1,25.1,,205077.5346,463030.9601
짱호프,서울특별시 노원구 상계동 649-2번지 지하7호,노원구,상계동,56.76,56.76,29526564,205077.5346,463030.9601
